Country,Year,Code,High Blood Pressure (15-49),Alcohol (15-49),High BMI (15-49),Smoking (15-49),Drug Use (15-49)
Australia,1990,AUS,766,1596,713,1174,619
Australia,1991,AUS,755,1554,711,1144,652
Australia,1992,AUS,752,1529,717,1127,706
Australia,1993,AUS,738,1505,713,1099,757
Australia,1994,AUS,746,1533,728,1092,837
Australia,1995,AUS,747,1552,735,1075,916
Australia,1996,AUS,746,1572,744,1061,961
Australia,1997,AUS,743,1600,752,1037,1022
Australia,1998,AUS,744,1629,762,1021,1081
Australia,1999,AUS,738,1619,762,1000,1084
Australia,2000,AUS,735,1590,766,989,1009
Australia,2001,AUS,718,1543,754,970,883
Australia,2002,AUS,707,1533,754,962,842
Australia,2003,AUS,694,1526,758,954,846
Australia,2004,AUS,658,1499,743,936,848
Australia,2005,AUS,637,1491,736,922,854
Australia,2006,AUS,613,1481,727,905,827
Australia,2007,AUS,599,1504,731,901,799
Australia,2008,AUS,593,1522,736,895,768
Australia,2009,AUS,582,1540,738,887,744
Australia,2010,AUS,566,1520,725,862,745
Australia,2011,AUS,538,1487,695,822,766
Australia,2012,AUS,517,1459,671,786,778
Australia,2013,AUS,515,1463,671,780,811
Australia,2014,AUS,530,1487,690,790,870
Australia,2015,AUS,542,1517,705,794,926
Australia,2016,AUS,533,1491,696,771,960
Australia,2017,AUS,539,1488,700,764,991
Australia,2018,AUS,539,1493,697,748,1024
Australia,2019,AUS,539,1500,694,731,1053
Brazil,1990,BRA,19167,24333,14679,20064,2363
Brazil,1991,BRA,18763,24563,14693,19737,2820
Brazil,1992,BRA,18858,24911,15076,19927,3305
Brazil,1993,BRA,19367,26217,15807,20547,3911
Brazil,1994,BRA,19461,27233,16188,20684,4508
Brazil,1995,BRA,19486,28420,16506,20793,4954
Brazil,1996,BRA,19705,29382,16928,21013,4829
Brazil,1997,BRA,19506,30057,16994,20715,4000
Brazil,1998,BRA,19638,30766,17334,20686,3554
Brazil,1999,BRA,19609,31229,17541,20470,3330
Brazil,2000,BRA,19419,31724,17561,20098,3335
Brazil,2001,BRA,19312,32215,17665,19767,3355
Brazil,2002,BRA,19169,32716,17745,19369,3411
Brazil,2003,BRA,19079,32885,17853,18947,3518
Brazil,2004,BRA,19101,32992,18084,18656,3500
Brazil,2005,BRA,18640,32585,17885,17865,3496
Brazil,2006,BRA,18614,32682,18132,17523,3513
Brazil,2007,BRA,18561,32755,18368,17099,3625
Brazil,2008,BRA,18645,33011,18722,16800,3737
Brazil,2009,BRA,18607,33152,18953,16424,3820
Brazil,2010,BRA,18423,33090,18949,15850,3901
Brazil,2011,BRA,18363,33071,19073,15392,3963
Brazil,2012,BRA,18043,32840,18930,14729,3983
Brazil,2013,BRA,17873,32528,18916,14167,4074
Brazil,2014,BRA,17474,32078,18645,13405,4080
Brazil,2015,BRA,17240,31430,18540,12833,4068
Brazil,2016,BRA,17431,31431,18863,12584,4088
Brazil,2017,BRA,16928,30718,18380,11785,4096
Brazil,2018,BRA,17191,30820,18694,11556,4082
Brazil,2019,BRA,17478,30976,19019,11353,4066
England,1990,ENG,3535,3132,2197,4744,802
England,1991,ENG,3465,3173,2190,4664,851
England,1992,ENG,3401,3193,2184,4608,902
England,1993,ENG,3332,3261,2176,4553,960
England,1994,ENG,3224,3335,2142,4443,1050
England,1995,ENG,3213,3463,2169,4440,1148
England,1996,ENG,3142,3566,2163,4368,1252
England,1997,ENG,2949,3600,2079,4138,1378
England,1998,ENG,2823,3673,2039,3986,1529
England,1999,ENG,2695,3718,1998,3857,1656
England,2000,ENG,2596,3765,1970,3746,1693
England,2001,ENG,2555,3869,1982,3690,1723
England,2002,ENG,2493,3944,1993,3639,1711
England,2003,ENG,2392,3978,1971,3558,1696
England,2004,ENG,2260,3946,1914,3426,1698
England,2005,ENG,2191,3971,1895,3362,1728
England,2006,ENG,2142,4048,1890,3326,1797
England,2007,ENG,2069,4062,1867,3259,1865
England,2008,ENG,2045,4096,1882,3246,1934
England,2009,ENG,1969,4031,1839,3144,1913
England,2010,ENG,1883,3898,1781,3018,1856
England,2011,ENG,1787,3758,1708,2867,1777
England,2012,ENG,1714,3635,1653,2726,1740
England,2013,ENG,1714,3628,1667,2672,1793
England,2014,ENG,1702,3602,1666,2592,1826
England,2015,ENG,1694,3579,1662,2529,1855
England,2016,ENG,1704,3577,1672,2490,1858
England,2017,ENG,1701,3557,1663,2423,1818
England,2018,ENG,1683,3520,1639,2355,1738
England,2019,ENG,1666,3502,1617,2276,1702
Ghana,1990,GHA,1369,1859,675,492,74
Ghana,1991,GHA,1419,1916,732,484,97
Ghana,1992,GHA,1479,1970,796,479,127
Ghana,1993,GHA,1521,2002,852,468,163
Ghana,1994,GHA,1575,2214,918,469,204
Ghana,1995,GHA,1638,2158,995,473,251
Ghana,1996,GHA,1728,2200,1094,478,295
Ghana,1997,GHA,1850,2303,1218,494,329
Ghana,1998,GHA,1928,2353,1315,498,352
Ghana,1999,GHA,2021,2441,1422,513,372
Ghana,2000,GHA,2107,2505,1523,524,400
Ghana,2001,GHA,2229,2595,1657,540,442
Ghana,2002,GHA,2306,2662,1760,551,491
Ghana,2003,GHA,2382,2740,1863,566,540
Ghana,2004,GHA,2447,2813,1957,579,577
Ghana,2005,GHA,2516,2872,2055,590,592
Ghana,2006,GHA,2573,2937,2144,606,589
Ghana,2007,GHA,2657,3000,2264,625,579
Ghana,2008,GHA,2670,3026,2307,632,561
Ghana,2009,GHA,2718,3089,2383,649,538
Ghana,2010,GHA,2760,3122,2455,659,516
Ghana,2011,GHA,2782,3134,2513,667,486
Ghana,2012,GHA,2773,3156,2552,680,464
Ghana,2013,GHA,2772,3215,2602,703,466
Ghana,2014,GHA,2803,3292,2684,728,472
Ghana,2015,GHA,2851,3355,2778,752,472
Ghana,2016,GHA,2936,3444,2916,773,471
Ghana,2017,GHA,2994,3514,3021,783,469
Ghana,2018,GHA,2979,3485,3037,774,451
Ghana,2019,GHA,3001,3509,3084,776,437
Japan,1990,JPN,6744,9085,2787,8712,1493
Japan,1991,JPN,6592,8980,2743,8569,1486
Japan,1992,JPN,6518,8935,2733,8507,1491
Japan,1993,JPN,6417,8876,2711,8412,1485
Japan,1994,JPN,6216,8689,2647,8171,1458
Japan,1995,JPN,6315,8801,2701,8315,1485
Japan,1996,JPN,6310,8715,2714,8345,1494
Japan,1997,JPN,6019,8572,2621,8004,1465
Japan,1998,JPN,5836,8663,2577,7822,1458
Japan,1999,JPN,5505,8481,2468,7409,1428
Japan,2000,JPN,5077,8054,2308,6880,1352
Japan,2001,JPN,4775,7756,2203,6495,1305
Japan,2002,JPN,4510,7542,2126,6216,1276
Japan,2003,JPN,4363,7539,2108,6128,1285
Japan,2004,JPN,4198,7401,2072,5988,1281
Japan,2005,JPN,4107,7319,2056,5916,1282
Japan,2006,JPN,3964,7084,2003,5744,1262
Japan,2007,JPN,3889,6932,1984,5673,1260
Japan,2008,JPN,3804,6812,1956,5584,1260
Japan,2009,JPN,3765,6707,1943,5533,1262
Japan,2010,JPN,3727,6562,1923,5459,1251
Japan,2011,JPN,3665,6501,1885,5326,1229
Japan,2012,JPN,3570,6099,1823,5139,1181
Japan,2013,JPN,3512,5865,1778,4984,1140
Japan,2014,JPN,3431,5642,1729,4797,1104
Japan,2015,JPN,3338,5372,1672,4589,1059
Japan,2016,JPN,3340,5262,1668,4502,1051
Japan,2017,JPN,3259,5089,1625,4281,1028
Japan,2018,JPN,3260,5136,1632,4211,1040
Japan,2019,JPN,3244,5132,1632,4105,1031
Mexico,1990,MEX,3675,13895,5577,3499,736
Mexico,1991,MEX,3721,14073,5681,3455,762
Mexico,1992,MEX,3846,14360,5886,3493,801
Mexico,1993,MEX,4009,14596,6170,3537,861
Mexico,1994,MEX,4118,14752,6406,3533,913
Mexico,1995,MEX,4199,14611,6586,3489,960
Mexico,1996,MEX,4233,14388,6653,3429,999
Mexico,1997,MEX,4439,14583,6967,3478,1077
Mexico,1998,MEX,4661,14756,7223,3479,1152
Mexico,1999,MEX,4714,14303,7291,3382,1182
Mexico,2000,MEX,4763,14008,7351,3300,1201
Mexico,2001,MEX,4822,13652,7472,3226,1201
Mexico,2002,MEX,5022,13681,7846,3256,1222
Mexico,2003,MEX,5208,13753,8186,3296,1253
Mexico,2004,MEX,5220,13405,8268,3209,1249
Mexico,2005,MEX,5475,13675,8731,3290,1289
Mexico,2006,MEX,5560,13499,8829,3230,1278
Mexico,2007,MEX,5725,13532,9065,3210,1303
Mexico,2008,MEX,6099,14275,9693,3322,1363
Mexico,2009,MEX,6360,14724,10238,3366,1378
Mexico,2010,MEX,6238,14685,10074,3201,1353
Mexico,2011,MEX,6230,14682,10102,3096,1347
Mexico,2012,MEX,6378,14720,10420,3054,1354
Mexico,2013,MEX,6848,15259,11228,3174,1427
Mexico,2014,MEX,7102,15399,11714,3198,1455
Mexico,2015,MEX,7312,15743,12018,3164,1497
Mexico,2016,MEX,7726,16736,12722,3246,1586
Mexico,2017,MEX,8297,18481,13633,3404,1718
Mexico,2018,MEX,8425,18977,13850,3375,1812
Mexico,2019,MEX,8278,18608,13645,3243,1829
Morocco,1990,MAR,3647,587,2208,1933,158
Morocco,1991,MAR,3777,585,2314,1988,170
Morocco,1992,MAR,3920,602,2438,2012,188
Morocco,1993,MAR,4116,609,2589,2088,205
Morocco,1994,MAR,4200,598,2672,2085,219
Morocco,1995,MAR,4295,601,2760,2104,235
Morocco,1996,MAR,4389,592,2845,2128,252
Morocco,1997,MAR,4520,592,2957,2150,272
